시군구명,남자_2030,여자_2030,전체_2030,여성비율,여초_차이,위도,경도,매장 수,서비스 필요도 점수
강남구,5601.902701828738,6805.013509469697,12406.916211298434,0.5450766027695895,1203.110807640959,37.496645844191384,127.06297492209956,45,558311.2295084295
강동구,3372.837036004857,3815.26766857797,7188.104704582826,0.5293688108005615,442.4306325731127,37.55045135583497,127.14701460054029,31,222831.2458420676
강북구,2559.1005486076083,2938.4864768617767,5497.5870254693855,0.5343502965759606,379.3859282541685,37.643477317850504,127.0111848426378,45,247391.41614612236
강서구,3940.034097444217,4495.506226446949,8435.540323891166,0.5329318279771633,555.4721290027322,37.56123594430332,126.8228036391566,45,379599.3145751025
관악구,4629.337463073554,4476.070799499089,9105.408262572642,0.4977750383879686,-153.2666635744644,37.467376557445554,126.94533551339654,45,409743.3718157689
광진구,4040.555598107164,4681.5832534471765,8722.138851554342,0.533819732550378,641.0276553400121,37.5467216566855,127.08574576556278,45,392496.2483199454
구로구,3692.6698104690345,3986.935068955677,7679.604879424712,0.5164434970106432,294.2652584866424,37.49440412360784,126.85630207676708,45,345582.21957411204
금천구,3890.698388253643,3698.809499018671,7589.507887272312,0.4984138465530224,-191.88888923497268,37.46056912325703,126.90081766859299,34,258043.2681672586
노원구,3082.200929264932,3345.578477266082,6427.779406531013,0.5214715648477316,263.3775480011504,37.652516328756455,127.07503364821082,45,289250.0732938956
도봉구,2116.9216856963963,2390.217172701991,4507.138858398386,0.5269677541622132,273.2954870055946,37.669105278540165,127.03236699506942,45,202821.2486279274
동대문구,3990.2952691663418,4752.092497295407,8742.387766461748,0.5410918072629992,761.7972281290658,37.58195725266282,127.05484821365535,45,393407.4494907787
동작구,4269.127032996356,4523.625690124469,8792.752723120826,0.5203606415029483,254.4986571281117,37.498876355584734,126.95164017998087,45,395673.87254043715
마포구,4760.1903541026295,6222.441283432947,10982.631637535576,0.5632281114255194,1462.2509293303165,37.55931221947648,126.90826402116168,45,494218.42368910095
서대문구,3964.923612314598,5476.742856716758,9441.666469031356,0.5594150056064755,1511.8192444021597,37.5777864554709,126.93906323252918,45,424874.991106411
서초구,4529.633445992714,5246.411046694748,9776.044492687462,0.5323106112849645,716.7776007020341,37.47329793162657,127.03120840421863,45,439922.0021709358
성동구,3351.47980651184,3876.262178008143,7227.741984519983,0.5377629149032451,524.7823714963034,37.55103004299689,127.04105879200252,45,325248.38930339925
성북구,2946.1623713262748,3556.558545895948,6502.720917222223,0.5477516268819815,610.3961745696722,37.6057014340731,127.01757833591746,45,292622.44127500005
송파구,3693.957626446232,4359.369602213621,8053.327228659853,0.5384485712241057,665.4119757673885,37.50562075651783,127.11529107477763,45,362399.7252896934
양천구,2184.5312623773025,2478.4287721222927,4662.960034499595,0.5269120113075211,293.8975097449909,37.52478964260824,126.85547920735567,45,209833.20155248177
영등포구,4517.2810099714125,5073.467893330045,9590.748903301455,0.5241964771827754,556.1868833586318,37.52230984585182,126.91016941316408,45,431583.7006485655
용산구,2896.977666779087,3437.5191707308745,6334.496837509962,0.5370692260771532,540.5415039517874,37.53138555818407,126.97990762812955,9,57010.471537589656
은평구,3211.9862382599044,3909.161814687216,7121.14805294712,0.5453150968656847,697.1755764273111,37.619215352284264,126.92702832847841,45,320451.6623826204
종로구,2626.836346377103,3227.586482500268,5854.422828877371,0.5355571034662416,600.7501361231651,37.594920452568445,126.97731707128663,45,263449.0272994817
중구,3049.5531368700667,3742.9490091438975,6792.502146013965,0.5439916736495601,693.3958722738312,37.56014287215068,126.99596829344604,45,305662.5965706284
중랑구,2769.472752517361,3112.566274045139,5882.0390265625,0.527078264924873,343.0935215277778,37.59781901928176,127.09288394089305,45,264691.7561953125
